path,latent_space,cluster,id,comments
1,"(-9.677614212036133, 75.43959045410156, 10.564143180847168, -0.00028919943724758923)",2,1,emp482
1,"(-9.677614212036133, 75.43959045410156, 10.564143180847168, -0.00028919943724758923)",2,1,:red_heart::red_heart:
1,"(-9.677614212036133, 75.43959045410156, 10.564143180847168, -0.00028919943724758923)",2,1,emp482
1,"(-9.677614212036133, 75.43959045410156, 10.564143180847168, -0.00028919943724758923)",2,1,We have sent you legal notice check your DM
3,"(-7.175867080688477, -13.116864204406738, -57.5657958984375, -0.0002891971671488136)",0,3,Been vv
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,:red_heart:️
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,Emp482
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,Men also do it.
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,Check your DM legal trouble is waiting for your team
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,@palak_hair_makeup_artist
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,@kankshamutreja
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,@reethu._.joy
2,"(-60.0887565612793, -39.634849548339844, 28.659395217895508, -0.00028920266777276993)",3,2,@samyurkive @blues_far :crying_face::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
